Year,Cumulative Days
1919,36
1920,41
1921,45
1922,43
1923,39
1924,49
1925,51
1926,43
1927,44
1928,41
1929,40
1930,33
1931,45
1932,49
1933,46
1934,44
1935,36
1936,51
1937,42
1938,38
1939,44
1940,46
1941,37
1942,36
1943,37
1944,43
1945,44
1946,40
1947,46
1948,37
1949,45
1950,38
1951,43
1952,43
1953,39
1954,39
1955,39
1956,42
1957,51
1958,38
1959,32
1960,32
1961,36
1962,42
1963,37
1964,38
1965,47
1966,35
1967,38
1968,39
1969,45
1970,49
1971,42
1972,40
1973,40
1974,40
1975,41
1976,39
1977,32
1978,40
1979,38
1980,39
1981,37
1982,36
1983,34
1984,46
1985,40
1986,38
1987,40
1988,41
1989,35
1990,33
1991,39
1992,30
1993,38
1994,40
1995,36
1996,46
1997,31
1998,33
1999,34
2000,36
2001,37
2002,31
2003,35
2004,34
2005,40
2006,36
2007,32
2008,33
2009,35
2010,38
2011,41
2012,41
2013,33
2014,31
2015,34
2016,33
2017,35
2018,29
2019,30
2020,29
2021,27
2022,29
2023,24
2024,31
