Year,Cumulative Days
1919,37
1920,43
1921,46
1922,45
1923,41
1924,51
1925,53
1926,46
1927,46
1928,43
1929,43
1930,36
1931,48
1932,51
1933,49
1934,45
1935,38
1936,53
1937,44
1938,39
1939,45
1940,48
1941,37
1942,36
1943,39
1944,46
1945,46
1946,42
1947,47
1948,39
1949,47
1950,40
1951,45
1952,44
1953,41
1954,41
1955,40
1956,43
1957,53
1958,40
1959,33
1960,33
1961,36
1962,44
1963,38
1964,39
1965,49
1966,36
1967,40
1968,41
1969,46
1970,50
1971,44
1972,41
1973,41
1974,41
1975,44
1976,43
1977,35
1978,42
1979,39
1980,41
1981,40
1982,38
1983,37
1984,47
1985,42
1986,41
1987,42
1988,44
1989,37
1990,35
1991,41
1992,32
1993,41
1994,41
1995,40
1996,49
1997,35
1998,34
1999,35
2000,37
2001,39
2002,32
2003,35
2004,35
2005,41
2006,37
2007,33
2008,35
2009,37
2010,38
2011,43
2012,42
2013,34
2014,32
2015,35
2016,34
2017,37
2018,30
2019,32
2020,31
2021,28
2022,31
2023,25
2024,33
