Year,Cumulative Days
1919,63
1920,73
1921,69
1922,63
1923,71
1924,74
1925,75
1926,70
1927,71
1928,70
1929,71
1930,59
1931,69
1932,73
1933,77
1934,69
1935,58
1936,77
1937,63
1938,68
1939,68
1940,70
1941,63
1942,67
1943,64
1944,69
1945,73
1946,66
1947,75
1948,64
1949,64
1950,63
1951,70
1952,71
1953,68
1954,62
1955,61
1956,73
1957,75
1958,63
1959,56
1960,56
1961,62
1962,65
1963,65
1964,69
1965,70
1966,60
1967,67
1968,70
1969,71
1970,67
1971,68
1972,67
1973,61
1974,67
1975,65
1976,58
1977,61
1978,64
1979,58
1980,68
1981,63
1982,60
1983,65
1984,72
1985,65
1986,67
1987,65
1988,66
1989,59
1990,57
1991,66
1992,59
1993,60
1994,64
1995,59
1996,69
1997,56
1998,55
1999,59
2000,62
2001,60
2002,53
2003,60
2004,55
2005,66
2006,60
2007,53
2008,61
2009,53
2010,63
2011,62
2012,68
2013,59
2014,54
2015,57
2016,59
2017,59
2018,57
2019,55
2020,53
2021,51
2022,58
2023,49
2024,53
